Ticker,rows,status
AAPL,1843,ok
MSFT,1843,ok
GOOGL,1843,ok
AMZN,1843,ok
GC=F,1845,ok
META,1843,ok
NVDA,1843,ok
TSLA,1843,ok
AMD,1843,ok
SI=F,1845,ok
INTC,1843,ok
QCOM,1843,ok
AVGO,1843,ok
ADBE,1843,ok
CL=F,1845,ok
CRM,1843,ok
ORCL,1843,ok
CSCO,1843,ok
IBM,1843,ok
BZ=F,1846,ok
TXN,1843,ok
MU,1843,ok
KLAC,1843,ok
LRCX,1843,ok
NG=F,1846,ok
PANW,1843,ok
CRWD,1732,ok
NET,1667,ok
PLTR,1403,ok
HG=F,1846,ok
SNOW,1413,ok
JPM,1843,ok
BAC,1843,ok
GS,1843,ok
PL=F,1845,ok
MS,1843,ok
V,1843,ok
MA,1843,ok
AXP,1843,ok
ZC=F,1844,ok
WFC,1843,ok
C,1843,ok
BLK,1843,ok
SPGI,1843,ok
ZS=F,1844,ok
MCO,1843,ok
PYPL,1843,ok
USB,1843,ok
PNC,1843,ok
ZW=F,1844,ok
TFC,1843,ok
ICE,1843,ok
CME,1843,ok
BX,1843,ok
EURUSD=X,1908,ok
KKR,1843,ok
JNJ,1843,ok
UNH,1843,ok
LLY,1843,ok
USDJPY=X,1908,ok
PFE,1843,ok
ABBV,1843,ok
AMGN,1843,ok
GILD,1843,ok
GBPUSD=X,1908,ok
MRK,1843,ok
BMY,1843,ok
TMO,1843,ok
ABT,1843,ok
AUDUSD=X,1909,ok
MDT,1843,ok
BSX,1843,ok
SYK,1843,ok
ISRG,1843,ok
USDCHF=X,1908,ok
WMT,1843,ok
PG,1843,ok
KO,1843,ok
PEP,1843,ok
USDCAD=X,1909,ok
COST,1843,ok
MDLZ,1843,ok
CL,1843,ok
MO,1843,ok
NZDUSD=X,1909,ok
PM,1843,ok
EL,1843,ok
MCD,1843,ok
SBUX,1843,ok
EURGBP=X,1909,ok
NKE,1843,ok
HD,1843,ok
LOW,1843,ok
TGT,1843,ok
EURJPY=X,1909,ok
BKNG,1843,ok
CMG,1843,ok
ORLY,1843,ok
TJX,1843,ok
GBPJPY=X,1909,ok
XOM,1843,ok
CVX,1843,ok
COP,1843,ok
EOG,1843,ok
AUDJPY=X,1909,ok
SLB,1843,ok
PSX,1843,ok
VLO,1843,ok
MPC,1843,ok
CADJPY=X,1909,ok
OXY,1843,ok
HAL,1843,ok
HON,1843,ok
CAT,1843,ok
EURCHF=X,1909,ok
DE,1843,ok
BA,1843,ok
GE,1843,ok
MMM,1843,ok
EURAUD=X,1909,ok
UPS,1843,ok
FDX,1843,ok
LMT,1843,ok
RTX,1843,ok
EURCAD=X,1910,ok
DIS,1843,ok
NFLX,1843,ok
CMCSA,1843,ok
T,1843,ok
GBPCHF=X,1909,ok
VZ,1843,ok
SPOT,1843,ok
SNAP,1843,ok
ZM,1769,ok
GBPAUD=X,1910,ok
LIN,1843,ok
APD,1843,ok
SHW,1843,ok
FCX,1843,ok
GBPCAD=X,1910,ok
NEM,1843,ok
ECL,1843,ok
AMT,1843,ok
PLD,1843,ok
AUDCAD=X,1910,ok
EQIX,1843,ok
PSA,1843,ok
WELL,1843,ok
O,1843,ok
CHFJPY=X,1909,ok
UBER,1754,ok
ABNB,1353,ok
ETSY,1843,ok
EBAY,1843,ok
DELL,1843,ok
HPQ,1843,ok
WM,1843,ok
RSG,1843,ok
INTU,1843,ok
NOW,1843,ok
