Model,Horizon,N,MAE,RMSE,DirAcc,IC,RankIC,IR,Sharpe
Naive-RandomWalk,1,2880,0.013276,0.021193,-,,,,
AutoETS,1,2880,0.013282,0.02121,0.5377,-0.0109,0.0187,-0.1185,0.162
AutoTheta,1,2880,0.013419,0.021225,0.5319,0.018,0.0562,0.0974,0.7711
NBEATS,1,2880,0.013586,0.021544,0.5076,0.0167,0.0273,0.1416,0.1705
AutoARIMA,1,2880,0.013649,0.021836,0.5009,-0.0203,-0.0274,-0.1511,-1.0105
NBEATS-NoEmb,1,2880,0.013704,0.021367,0.5795,0.0456,0.0575,0.3598,1.1746
NBEATS-Emb-16,1,2880,0.014312,0.021641,0.5097,-0.0216,-0.0201,-0.1749,-0.4345
PatchTST,1,2880,0.014385,0.022331,0.4889,-0.0273,-0.0509,-0.1402,-0.0217
NBEATS-Emb-8,1,2880,0.014417,0.022079,0.5108,0.0043,0.0191,0.0348,-0.9197
NBEATS-Emb-32,1,2880,0.01452,0.022119,0.509,-0.0227,-0.0132,-0.1826,-0.1005
Chronos-ZeroShot,1,2880,0.014708,0.022709,0.4976,0.0162,0.0116,0.1006,0.4976
Kronos-ZeroShot,1,2880,0.025431,0.042854,0.5017,-0.0303,-0.0121,-0.1735,-0.8766
NBEATS,5,2880,0.029049,0.041877,0.5462,0.0039,0.0096,0.0247,-0.0797
AutoTheta,5,2880,0.029095,0.04172,0.5545,0.04,0.0767,0.1575,0.8291
AutoETS,5,2880,0.029174,0.041799,0.5295,0.004,0.0486,0.0316,0.861
Naive-RandomWalk,5,2880,0.0292,0.041787,-,,,,
PatchTST,5,2880,0.029343,0.042024,0.5264,0.0824,0.07,0.445,1.314
AutoARIMA,5,2880,0.029556,0.04249,0.5095,-0.0375,0.0011,-0.2947,-0.0021
NBEATS-NoEmb,5,2880,0.029583,0.042175,0.5215,0.0163,0.0131,0.1087,0.2409
NBEATS-Emb-32,5,2880,0.029658,0.042157,0.5347,-0.0332,-0.0236,-0.2271,-0.4609
NBEATS-Emb-16,5,2880,0.029681,0.042317,0.5076,0.0016,0.0143,0.0164,-0.1628
Chronos-ZeroShot,5,2880,0.029776,0.043059,0.5392,-0.0225,0.0059,-0.1341,-0.5557
NBEATS-Emb-8,5,2880,0.029819,0.042637,0.5222,-0.0209,-0.0122,-0.134,-0.3544
Kronos-ZeroShot,5,2880,0.062104,0.097351,0.5146,0.0198,0.0165,0.0749,-0.0705
