Model,Horizon,MeanLongShortReturn,VolLongShortReturn,SharpeApprox,N_Dates
NBEATS-NoEmb,1,0.004365274593972495,0.01204049051236312,1.255908532627718,18
Chronos-ZeroShot,1,0.0012204780696031452,0.00977315680858129,0.4325992240746822,18
PatchTST,1,0.001425005710790345,0.018247581609022623,0.27052157869997107,18
NBEATS,1,-0.00016357405411166842,0.012289076499787884,-0.04610900949738912,18
NBEATS-Emb-8,1,-0.00039669318891574464,0.013884893860935181,-0.09896982506315123,18
NBEATS-Emb-32,1,-0.001019267051718097,0.013518831106707365,-0.26117972864987776,18
Kronos-ZeroShot,1,-0.0017341737584281286,0.014672002618350326,-0.40944336460156916,18
NBEATS-Emb-16,1,-0.0022695537978812386,0.009837398398630418,-0.7991914791188067,18
PatchTST,5,0.016849050542051484,0.044883469727961645,1.300408002100084,18
Kronos-ZeroShot,5,0.00667083614576625,0.043763797143268945,0.5280267201499529,18
NBEATS-Emb-16,5,0.0006825024902587822,0.016174226051250865,0.14617441176779786,18
NBEATS-NoEmb,5,0.0008061187447185086,0.021521878501564565,0.12975062773303928,18
NBEATS,5,-0.0003119417463424874,0.0366357704111975,-0.02949570584173178,18
NBEATS-Emb-32,5,-0.001615303505926238,0.022505429708259878,-0.24863224370086506,18
NBEATS-Emb-8,5,-0.0030803096510187544,0.023556738855478283,-0.45297040913356224,18
Chronos-ZeroShot,5,-0.004498625589404573,0.029485133618816373,-0.528527235847812,18
